tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1667.00;3_4_0;300.00;13.02;1045.00;0.00;7_3_0;5.10;0.00;tripinfo_1045;622.00;1045;0;494.90;0.99;0.00;585.92;DEFAULT_VEHTYPE;;2;570.00
1668.00;6_5_0;300.00;12.61;1003.00;0.00;1_2_0;5.10;0.00;tripinfo_1003;665.00;1003;0;794.90;0.95;0.00;604.32;DEFAULT_VEHTYPE;;5;566.00
1669.00;2_3_2;400.00;5.31;740.00;0.00;1_2_0;5.10;0.00;tripinfo_740;929.00;740;0;694.90;0.95;0.00;876.32;DEFAULT_VEHTYPE;;11;790.00
1675.00;2_1_2;300.00;16.06;1641.00;0.00;6_2_0;5.10;0.00;tripinfo_1641;34.00;1641;0;494.90;1.24;0.00;4.55;DEFAULT_VEHTYPE;;0;0.00
1676.00;7_8_0;300.00;15.84;1603.00;0.00;5_6_0;5.10;0.00;tripinfo_1603;73.00;1603;0;994.90;1.14;0.00;9.54;DEFAULT_VEHTYPE;;0;0.00
1680.00;6_7_0;400.00;10.65;64.00;0.00;4_3_0;5.10;0.00;tripinfo_64;1616.00;64;0;1294.90;0.85;0.00;1506.21;DEFAULT_VEHTYPE;;16;1369.00
1681.00;6_7_0;400.00;11.77;1621.00;0.00;5_6_0;5.10;0.00;tripinfo_1621;60.00;1621;0;694.90;0.94;0.00;6.53;DEFAULT_VEHTYPE;;0;0.00
1682.00;7_3_0;200.00;13.74;1123.00;0.00;7_3_0;5.10;0.00;tripinfo_1123;559.00;1123;0;194.90;1.08;0.00;545.32;DEFAULT_VEHTYPE;;1;536.00
1683.00;6_7_0;400.00;13.38;1650.00;3.00;6_7_0;5.10;0.00;tripinfo_1647;33.00;1647;0;394.90;1.02;0.00;4.86;DEFAULT_VEHTYPE;;0;0.00
1683.00;7_3_0;200.00;14.73;1114.00;0.00;8_7_0;5.10;0.00;tripinfo_1114;569.00;1114;0;494.90;1.14;0.00;537.80;DEFAULT_VEHTYPE;;1;526.00
